Full Name,NRIC/FIN/Passport Number,Sex,Nationality,Date of Birth (DD/MM/YY),Address,Postal Code,Contact - Home,Contact - Office,Contact - Mobile,Email,Drug Allergy
Chua Zhi Hao,T9614423A,M,Singaporean,01/03/66,Blk 464 Hougang Ave 8 #13-975,676843,65191831,62589226,92709721,zhi.chua18@gmail.com,Penicillin
Chua Hafiz,S7720647F,M,Singaporean,03/11/10,Blk 266 Punggol Field #19-700,178629,61365746,62081661,88439543,hafiz.chua17@gmail.com,Codeine
Lim Ravi,S3818391Z,M,Singaporean,16/07/96,Blk 700 Jurong West St 42 #01-491,281201,66938182,64602338,85613428,ravi.lim36@outlook.com,NSAIDs
Sim Daniel,S5951043H,M,Singaporean,02/08/85,Blk 393 Clementi Ave 2 #03-386,539599,64346346,69821696,81327658,daniel.sim49@hotmail.com,Latex
Rahman Sarah,T7515956E,F,Singaporean,08/10/70,Blk 798 Tampines Street 21 #01-930,161437,68913550,69882399,94905100,sarah.rahman21@gmail.com,None
Koh Sheng Yang,S4681115Z,M,Chinese,12/07/01,Blk 243 Pasir Ris Drive 1 #06-280,433451,67019382,61473227,93384080,sheng.koh73@yahoo.com,Latex
Wong Charlotte,S2514267A,F,Singaporean,17/01/64,Blk 340 Punggol Field #16-100,743966,64380011,63189251,93977282,charlotte.wong42@gmail.com,Penicillin
Tay Hafiz,S9829762F,M,British,22/12/73,Blk 104 Bukit Batok West Ave 6 #13-700,416423,66412383,63289279,88329435,hafiz.tay82@outlook.com,Codeine
Loh Daniel,T4745298J,M,Singaporean,10/07/61,Blk 182 Yishun Ring Road #10-230,101885,67569981,61543292,86338793,daniel.loh79@yahoo.com,Iodine contrast
Yeo Hafiz,T2305378D,M,Singaporean,21/03/70,Blk 726 Woodlands Street 13 #03-941,770147,66632941,68493206,85449526,hafiz.yeo27@yahoo.com,Sulfa drugs
Koh Siti,S1807780G,F,Singaporean,14/03/76,Blk 360 Hougang Ave 8 #16-487,493580,62701688,69044494,83728923,siti.koh58@gmail.com,Penicillin
Tan Mei Ling,T2756994B,F,Singaporean,06/07/06,Blk 965 Punggol Field #03-660,197627,66669869,69098979,88236404,mei.tan84@yahoo.com,Iodine contrast
Wong Hui Min,S6554845D,F,Australian,18/12/76,Blk 677 Tampines Street 21 #18-371,411847,64985398,62609202,87591805,hui.wong74@icloud.com,Latex
Lim Zhi Hao,S8174037B,M,Singaporean,20/11/92,Blk 100 Ang Mo Kio Ave 3 #16-304,317005,63866088,65895783,88945197,zhi.lim15@hotmail.com,None
Yeo Nur Aisyah,S7501626C,F,Singaporean,06/06/74,Blk 270 Serangoon Ave 3 #15-145,587648,65419132,64795715,92034137,nur.yeo20@gmail.com,Sulfa drugs
Loh Kavya,S2023137G,F,Chinese,22/09/76,Blk 903 Toa Payoh Lorong 4 #16-686,599397,66013906,62324645,91582647,kavya.loh65@icloud.com,None
Ng Ravi,S3804559D,M,Chinese,14/01/58,Blk 446 Toa Payoh Lorong 4 #03-799,757694,63480985,65326615,92124274,ravi.ng12@outlook.com,None
Loh Mei Ling,T9718920H,F,Filipino,20/12/50,Blk 801 Jurong West St 42 #19-635,217984,67953189,63510581,82681144,mei.loh14@icloud.com,Sulfa drugs
Loh Mei Ling,T5431477G,F,Singaporean,16/10/86,Blk 283 Jurong West St 42 #02-276,250840,67739741,61650662,96561547,mei.loh89@yahoo.com,Penicillin
Koh Mei Ling,S6668452E,F,Singaporean,28/08/03,Blk 234 Clementi Ave 2 #04-989,415076,68434162,66383277,97992286,mei.koh78@gmail.com,None
Goh Kavya,T9665455F,F,Chinese,03/03/82,Blk 519 Jurong West St 42 #10-826,242239,69796063,61485669,84234033,kavya.goh26@gmail.com,None
Devi Wei Ming,T4340507E,M,Singaporean,13/09/79,Blk 32 Toa Payoh Lorong 4 #04-797,490559,69200480,68484373,88962169,wei.devi76@icloud.com,Codeine
Wong Nur Aisyah,S5782670A,F,Singaporean,25/10/60,Blk 227 Woodlands Street 13 #07-977,336047,64468370,65514473,99611430,nur.wong3@gmail.com,Latex
Wong Daniel,S4754238E,M,Singaporean,23/05/10,Blk 917 Jurong West St 42 #09-533,465648,68700708,65227836,88829893,daniel.wong39@icloud.com,Iodine contrast
Tay Siti,S9581776J,F,British,18/06/03,Blk 290 Tampines Street 21 #20-723,817659,62813693,69082229,86641903,siti.tay36@hotmail.com,Aspirin
Teo Xin Yi,S9678746D,F,Indonesian,13/10/01,Blk 144 Yishun Ring Road #11-797,126691,69344531,65959422,98022366,xin.teo52@outlook.com,Penicillin
Ali Arjun,T7014583I,M,Singaporean,18/11/60,Blk 100 Serangoon Ave 3 #06-400,234159,65339457,64071377,92498202,arjun.ali29@hotmail.com,None
Singh Mei Ling,T5371458Z,F,Singaporean,16/02/04,Blk 650 Pasir Ris Drive 1 #02-987,708502,62194801,68922531,89396617,mei.singh16@outlook.com,None
Singh Hui Min,S3304606D,F,Singaporean,05/08/86,Blk 733 Clementi Ave 2 #11-983,184736,69180249,66580596,86258215,hui.singh82@gmail.com,Penicillin
Koh Xin Yi,S3658100H,F,Indian,05/02/99,Blk 649 Jurong West St 42 #20-544,522988,68197852,69009447,91078335,xin.koh5@icloud.com,None
Tan Mei Ling,S1300582J,F,Singaporean,08/04/96,Blk 133 Bedok North Road #12-419,502181,69444584,66135759,82095334,mei.tan6@hotmail.com,Aspirin
Chan Sarah,T8275695J,F,Australian,12/08/71,Blk 971 Punggol Field #07-268,522986,61320859,64832222,83201267,sarah.chan28@gmail.com,Iodine contrast
Ng Zhi Hao,S7294684J,M,Singaporean,02/10/84,Blk 678 Bedok North Road #20-149,785315,61331211,61809249,87992333,zhi.ng57@outlook.com,Sulfa drugs
Yeo Priya,S1156104E,F,Singaporean,17/11/56,Blk 621 Yishun Ring Road #09-737,243826,68026730,62760168,85743032,priya.yeo15@gmail.com,Latex
Sim Arjun,T9776935D,M,Singaporean,06/05/76,Blk 509 Punggol Field #02-661,317782,69064202,66546608,81045936,arjun.sim2@gmail.com,Sulfa drugs
Ong Siti,S2699372E,F,Singaporean,09/05/79,Blk 103 Bishan Street 22 #15-151,283188,61661769,65874908,96246354,siti.ong55@gmail.com,Sulfa drugs
Tan Hafiz,S6514013F,M,Indonesian,24/05/89,Blk 835 Bukit Batok West Ave 6 #03-481,291752,62909784,67723930,98659448,hafiz.tan35@outlook.com,Latex
Wong Siti,S1983923C,F,Singaporean,16/10/08,Blk 449 Clementi Ave 2 #19-794,741018,67371160,67016291,83192032,siti.wong62@outlook.com,Sulfa drugs
Devi Hui Min,S5389135J,F,Singaporean,17/11/95,Blk 579 Toa Payoh Lorong 4 #19-841,802382,66675742,69709047,88261982,hui.devi85@yahoo.com,Latex
Kumar Priya,S1195368J,F,Filipino,28/08/82,Blk 170 Bedok North Road #16-990,615530,66379342,65041494,95666702,priya.kumar7@icloud.com,None
Kumar Xin Yi,S8702329H,F,Chinese,28/02/78,Blk 324 Bedok North Road #16-557,621533,61298116,62722069,97917892,xin.kumar5@icloud.com,None
Lee Daniel,T9528492I,M,Singaporean,11/08/92,Blk 56 Bishan Street 22 #12-945,333746,68624573,66569576,97095071,daniel.lee92@outlook.com,Sulfa drugs
Chua Wei Ming,T6958243J,M,British,17/09/68,Blk 109 Ang Mo Kio Ave 3 #12-818,272129,69261472,63356346,92794516,wei.chua33@icloud.com,None
Ng Amir,S8667959D,M,Malaysian,02/07/56,Blk 791 Punggol Field #19-226,572388,68673695,69459031,89368955,amir.ng1@icloud.com,Penicillin
Tay Charlotte,S3913368C,F,Singaporean,20/10/92,Blk 903 Jurong West St 42 #11-616,539001,65164755,65590177,96752216,charlotte.tay38@outlook.com,NSAIDs
Singh Daniel,T6266549I,M,Singaporean,20/04/62,Blk 354 Punggol Field #10-803,805034,63225862,63983202,92936178,daniel.singh98@hotmail.com,None
Tay Sarah,T9957402E,F,Indonesian,17/01/77,Blk 391 Clementi Ave 2 #04-125,155642,61949670,64353806,93700047,sarah.tay37@hotmail.com,NSAIDs
Teo Arjun,S7017692H,M,Singaporean,24/11/05,Blk 230 Yishun Ring Road #18-985,778553,67524435,64986190,91788191,arjun.teo49@outlook.com,None
Loh Hui Min,S5216804D,F,Singaporean,27/08/99,Blk 722 Yishun Ring Road #08-748,779091,67169672,64296204,85935483,hui.loh58@yahoo.com,Sulfa drugs
Wong Sheng Yang,S7328336A,M,Singaporean,05/05/85,Blk 867 Tampines Street 21 #06-698,105919,66545923,68823741,81670091,sheng.wong20@hotmail.com,Iodine contrast
Sim Kai Xuan,T7007679B,M,Indian,08/09/70,Blk 70 Queenstown Road #06-633,629678,63673793,67978168,92542590,kai.sim45@yahoo.com,None
Ali Mei Ling,T4664903Z,F,Singaporean,01/11/85,Blk 355 Serangoon Ave 3 #04-784,352023,65090740,61669029,97398370,mei.ali15@outlook.com,Aspirin
Tan Wan Ting,T9628674I,F,Singaporean,21/05/52,Blk 527 Bedok North Road #07-428,200617,63808418,69945709,82098434,wan.tan27@yahoo.com,None
Goh Sheng Yang,T2209981J,M,Singaporean,11/12/79,Blk 76 Ang Mo Kio Ave 3 #02-189,286638,65226314,62181822,85339392,sheng.goh53@outlook.com,Latex
Singh Mei Ling,S7534756J,F,Singaporean,24/11/50,Blk 775 Yishun Ring Road #20-164,714054,61763646,62217848,99436204,mei.singh14@hotmail.com,Aspirin
Teo Ravi,T7628900J,M,Singaporean,08/09/60,Blk 401 Queenstown Road #05-864,672233,65948917,63417186,97260091,ravi.teo2@icloud.com,None
Ng Wei Ming,S7611593I,M,Singaporean,07/05/55,Blk 423 Punggol Field #12-316,777308,69599207,63390000,84086885,wei.ng29@icloud.com,Aspirin
Ng Hafiz,S8738745J,M,Singaporean,03/11/68,Blk 203 Yishun Ring Road #09-200,708798,69173698,66550757,93151093,hafiz.ng86@yahoo.com,Sulfa drugs
Sim Siti,S6331563H,F,Singaporean,10/11/89,Blk 580 Pasir Ris Drive 1 #19-256,482199,66307189,68185805,81081065,siti.sim41@yahoo.com,None
Koh Mei Ling,S6562703H,F,Singaporean,16/05/72,Blk 180 Woodlands Street 13 #18-211,736095,62375290,65707954,84295580,mei.koh34@gmail.com,Sulfa drugs
Chan Wei Ming,T4569531A,M,Singaporean,16/09/84,Blk 402 Toa Payoh Lorong 4 #05-474,718241,65882155,63246154,99407451,wei.chan66@gmail.com,None
Chan Hui Min,S3782393I,F,Singaporean,19/03/60,Blk 894 Clementi Ave 2 #19-775,606990,67019590,61678132,89181277,hui.chan30@gmail.com,Aspirin
Chua Hui Min,S9688672F,F,Singaporean,02/08/08,Blk 332 Bedok North Road #02-764,646699,65588489,65417710,87319298,hui.chua84@outlook.com,Codeine
Chan Kai Xuan,T4739628I,M,Singaporean,16/06/02,Blk 7 Hougang Ave 8 #16-718,245718,68380275,63778404,82293325,kai.chan66@hotmail.com,None
Wong Hafiz,T2985251J,M,Singaporean,24/06/01,Blk 692 Serangoon Ave 3 #04-593,602290,64535025,63705263,91376582,hafiz.wong32@gmail.com,NSAIDs
Ong Sheng Yang,S3463987A,M,Singaporean,17/03/09,Blk 993 Pasir Ris Drive 1 #13-713,768595,61312392,65755579,84633834,sheng.ong58@icloud.com,Latex
Wong Xin Yi,T3394312Z,F,Chinese,22/10/61,Blk 172 Yishun Ring Road #17-370,818894,66749069,68607966,84855635,xin.wong49@outlook.com,NSAIDs
Tan Arjun,T3509220Z,M,Singaporean,20/10/80,Blk 803 Hougang Ave 8 #02-998,627778,62971598,62563468,93186555,arjun.tan78@icloud.com,Penicillin
Chan Kavya,T1728773I,F,Singaporean,26/08/10,Blk 604 Queenstown Road #13-458,704106,62639417,68138527,85270103,kavya.chan62@yahoo.com,Sulfa drugs
Sim Wan Ting,T5325249D,F,Singaporean,19/01/97,Blk 533 Ang Mo Kio Ave 3 #17-220,493247,64446353,66299951,97077878,wan.sim14@yahoo.com,None
Koh Wan Ting,T7134489Z,F,Singaporean,25/07/93,Blk 566 Queenstown Road #07-523,684646,69094465,63998417,99116148,wan.koh33@hotmail.com,Iodine contrast
Kumar Priya,S4854922H,F,Indian,04/03/10,Blk 411 Queenstown Road #07-620,454877,61873301,63696736,91088762,priya.kumar12@yahoo.com,Latex
Lee Siti,T4720687F,F,Singaporean,13/12/52,Blk 672 Hougang Ave 8 #13-728,400384,61964069,63940561,98364728,siti.lee2@yahoo.com,None
Goh Hui Min,S3843451J,F,Singaporean,01/11/65,Blk 283 Queenstown Road #06-188,518836,66924499,67629401,94360650,hui.goh67@gmail.com,Sulfa drugs
Loh Kai Xuan,T6829664E,M,Singaporean,13/08/62,Blk 268 Clementi Ave 2 #19-104,526911,69493265,62786185,89441777,kai.loh38@hotmail.com,Sulfa drugs
Loh Sarah,T8428425G,F,Singaporean,25/04/99,Blk 470 Woodlands Street 13 #11-894,583100,61458868,69086117,85325497,sarah.loh9@outlook.com,None
Ali Amir,T9665502I,M,Singaporean,08/05/03,Blk 409 Woodlands Street 13 #10-195,458605,62275551,63994493,96265911,amir.ali46@yahoo.com,Iodine contrast
Wong Xin Yi,T4349848D,F,Malaysian,07/05/05,Blk 855 Toa Payoh Lorong 4 #08-307,748645,66973148,63617171,83011227,xin.wong11@outlook.com,Iodine contrast
Loh Wei Ming,T7227644Z,M,Singaporean,28/10/07,Blk 188 Queenstown Road #09-602,635962,65702093,67675310,83151610,wei.loh7@icloud.com,None
Loh Hui Min,T7605473J,F,Indian,23/02/79,Blk 324 Yishun Ring Road #17-571,108827,61198306,64535838,92690268,hui.loh42@hotmail.com,Iodine contrast
Wong Wan Ting,T4978534E,F,Singaporean,12/06/89,Blk 435 Toa Payoh Lorong 4 #06-610,539450,67246319,67124992,95691405,wan.wong58@yahoo.com,Iodine contrast
Tay Arjun,S5528994D,M,Singaporean,07/07/04,Blk 983 Yishun Ring Road #05-919,256812,68935405,61163448,88071943,arjun.tay64@yahoo.com,None
Yeo Nur Aisyah,T1800429G,F,Singaporean,07/01/60,Blk 860 Woodlands Street 13 #09-587,200979,68547311,66614605,97055937,nur.yeo47@icloud.com,None
Rahman Hui Min,T3034027F,F,Indonesian,19/04/88,Blk 665 Hougang Ave 8 #19-765,283017,65774942,66957741,99563838,hui.rahman63@outlook.com,Sulfa drugs
Sim Nur Aisyah,T3430151C,F,Singaporean,14/06/09,Blk 415 Bishan Street 22 #20-685,174809,62327277,63717900,94828861,nur.sim41@hotmail.com,Aspirin
Sim Kavya,T8464156F,F,Malaysian,14/08/83,Blk 875 Ang Mo Kio Ave 3 #06-288,231113,64936391,65221936,84532803,kavya.sim22@outlook.com,Sulfa drugs
Lee Ravi,S1442329G,M,Singaporean,09/02/55,Blk 87 Woodlands Street 13 #20-259,508783,66190378,64847954,85767670,ravi.lee57@yahoo.com,NSAIDs
Tan Wei Ming,T6455972H,M,Singaporean,09/09/05,Blk 139 Yishun Ring Road #18-555,665484,63970181,68659527,99782198,wei.tan82@icloud.com,Aspirin
Yeo Wan Ting,S2502467H,F,Singaporean,05/05/76,Blk 1 Hougang Ave 8 #10-110,242921,66769431,65811072,99977469,wan.yeo2@outlook.com,Latex
Tan Kavya,T4879150A,F,Singaporean,18/07/62,Blk 256 Clementi Ave 2 #14-504,777370,67538471,67347794,85412076,kavya.tan11@outlook.com,None
Teo Wan Ting,T7927377D,F,Indonesian,10/03/61,Blk 467 Pasir Ris Drive 1 #04-752,574760,65565653,69254323,86379509,wan.teo3@yahoo.com,Penicillin
Wong Jun Kai,T5516344C,M,Malaysian,08/01/96,Blk 16 Serangoon Ave 3 #03-254,327738,66736345,68050508,99361693,jun.wong48@outlook.com,Penicillin
Lee Priya,S5471188G,F,Singaporean,07/03/80,Blk 391 Bishan Street 22 #09-936,113228,63046175,65176895,98431651,priya.lee32@gmail.com,None
Ng Wan Ting,S8932696G,F,Singaporean,06/06/69,Blk 960 Hougang Ave 8 #02-862,646230,63049194,65249882,96013251,wan.ng26@hotmail.com,Penicillin
Ng Arjun,T6444432A,M,Singaporean,04/10/67,Blk 249 Ang Mo Kio Ave 3 #13-908,144033,68973718,63600333,92501223,arjun.ng32@yahoo.com,Latex
Sim Zhi Hao,S2002860F,M,Singaporean,26/09/94,Blk 500 Toa Payoh Lorong 4 #04-228,432125,66827024,68360481,81358241,zhi.sim89@outlook.com,Codeine
Koh Wei Ming,T8340032I,M,Singaporean,07/08/94,Blk 557 Bukit Batok West Ave 6 #19-291,439403,68858359,65619177,82155557,wei.koh68@yahoo.com,Latex
Koh Wan Ting,T8618181A,F,Indian,24/07/82,Blk 635 Bishan Street 22 #06-119,481760,65006173,66380354,87501017,wan.koh25@icloud.com,Latex
Sim Kai Xuan,T7875379J,M,Singaporean,22/09/56,Blk 856 Clementi Ave 2 #03-144,287316,61524686,64390323,89143162,kai.sim25@gmail.com,Penicillin
Yeo Wan Ting,T1823520F,F,Singaporean,01/02/95,Blk 504 Punggol Field #07-771,183840,68852729,62018380,97978536,wan.yeo48@gmail.com,Iodine contrast
Chan Hui Min,S6098672B,F,British,04/02/83,Blk 395 Toa Payoh Lorong 4 #08-644,302500,69828037,65173551,87965641,hui.chan96@gmail.com,Iodine contrast
Devi Kavya,S3798595C,F,Singaporean,22/06/82,Blk 615 Serangoon Ave 3 #06-646,469438,66287423,66446792,97917972,kavya.devi98@outlook.com,Codeine
Tay Sheng Yang,S7292514I,M,Filipino,15/06/66,Blk 1 Yishun Ring Road #15-506,136346,65772818,61273509,86064062,sheng.tay1@hotmail.com,None
Ali Wei Ming,T9577712I,M,Singaporean,04/03/86,Blk 365 Clementi Ave 2 #02-571,245131,65445763,67158628,84908993,wei.ali33@hotmail.com,Sulfa drugs
Tay Xin Yi,S6447428H,F,Singaporean,23/12/02,Blk 930 Bedok North Road #19-939,724145,66039762,61626991,92316632,xin.tay8@hotmail.com,Codeine
Singh Siti,S1191837J,F,Indian,10/01/74,Blk 327 Hougang Ave 8 #17-142,692354,63509536,66483324,83570227,siti.singh7@outlook.com,Latex
Chua Amir,T7615632C,M,Singaporean,19/08/55,Blk 409 Tampines Street 21 #02-661,189211,67686174,69419194,93187332,amir.chua98@yahoo.com,Latex
Yeo Amir,S9795418D,M,Singaporean,11/07/67,Blk 116 Woodlands Street 13 #19-191,533672,68105832,67128174,94195887,amir.yeo42@hotmail.com,Iodine contrast
Teo Hafiz,T8419054Z,M,Singaporean,07/04/52,Blk 776 Yishun Ring Road #12-259,189982,62885284,61914996,83477610,hafiz.teo37@gmail.com,Codeine
Teo Ravi,T1381650F,M,Singaporean,07/04/84,Blk 769 Tampines Street 21 #18-635,675458,69103837,63371416,87318411,ravi.teo75@icloud.com,Penicillin
Wong Hui Min,T4367121Z,F,Singaporean,01/11/79,Blk 677 Tampines Street 21 #03-497,795186,67043474,62810117,85907261,hui.wong84@outlook.com,None
Chan Siti,T9131281Z,F,Singaporean,17/04/61,Blk 949 Yishun Ring Road #15-674,122532,61666934,65150551,96596369,siti.chan63@outlook.com,NSAIDs
Rahman Zhi Hao,T6072192D,M,Australian,26/05/82,Blk 264 Punggol Field #02-740,505977,61494355,65700872,83545240,zhi.rahman44@outlook.com,NSAIDs
Kumar Sheng Yang,S8001691D,M,Singaporean,20/05/77,Blk 556 Clementi Ave 2 #11-559,316800,63324928,64394202,86184132,sheng.kumar89@icloud.com,NSAIDs
Ong Sarah,S6326702B,F,Singaporean,04/12/10,Blk 860 Punggol Field #06-425,252591,61494648,66346688,97899659,sarah.ong39@outlook.com,Aspirin
Goh Jun Kai,S4099531A,M,Indian,09/10/89,Blk 628 Toa Payoh Lorong 4 #20-680,725329,64895376,64874066,87027405,jun.goh11@outlook.com,NSAIDs
Rahman Priya,T9245088H,F,Singaporean,02/04/62,Blk 993 Ang Mo Kio Ave 3 #14-882,382967,67929728,64733840,84431982,priya.rahman9@yahoo.com,Latex
Ali Charlotte,S8173194G,F,Indian,27/12/88,Blk 321 Jurong West St 42 #13-837,741209,69995261,69811906,89735042,charlotte.ali14@outlook.com,Latex
Chua Sheng Yang,T1658532I,M,Singaporean,02/11/98,Blk 451 Jurong West St 42 #07-398,419348,65796850,68740121,88087739,sheng.chua38@icloud.com,Penicillin
Devi Ravi,S9399643B,M,Singaporean,18/12/87,Blk 424 Bukit Batok West Ave 6 #05-502,572788,61417955,64001084,94387856,ravi.devi59@gmail.com,Aspirin
Wong Siti,S2915369H,F,Singaporean,23/09/55,Blk 811 Hougang Ave 8 #13-844,741804,63682671,67353173,91736621,siti.wong99@yahoo.com,Codeine
Wong Hafiz,S1860847G,M,Singaporean,10/08/96,Blk 921 Clementi Ave 2 #06-220,312705,61059272,65246497,88694746,hafiz.wong64@outlook.com,None
Sim Ravi,S4638539Z,M,Singaporean,15/07/79,Blk 615 Ang Mo Kio Ave 3 #03-715,356600,65665960,64483580,84101100,ravi.sim19@gmail.com,Codeine
Ong Wei Ming,T6555122B,M,Singaporean,06/03/76,Blk 677 Yishun Ring Road #10-725,723870,63976601,68639301,91601296,wei.ong12@hotmail.com,Codeine
Kumar Siti,T2089275E,F,Singaporean,28/12/57,Blk 540 Jurong West St 42 #09-437,650131,64520621,64507293,82833787,siti.kumar74@icloud.com,Sulfa drugs
Sim Nur Aisyah,T6309796E,F,Singaporean,05/06/89,Blk 509 Hougang Ave 8 #20-676,762550,69350710,69262853,84904421,nur.sim91@hotmail.com,None
Ng Wei Ming,T2978465D,M,Indian,02/07/76,Blk 574 Queenstown Road #11-458,768470,64562439,61189536,85724912,wei.ng33@gmail.com,Aspirin
Chan Wan Ting,T1102865B,F,Singaporean,24/07/71,Blk 984 Ang Mo Kio Ave 3 #19-730,284160,64255041,66545118,99038102,wan.chan61@gmail.com,NSAIDs
Ong Charlotte,T8758960G,F,Filipino,10/09/53,Blk 695 Bukit Batok West Ave 6 #19-842,682145,69990666,61314043,86565326,charlotte.ong46@gmail.com,NSAIDs
Tan Mei Ling,T9963616C,F,Singaporean,20/03/74,Blk 802 Queenstown Road #04-985,423256,66276424,61530633,97943579,mei.tan12@outlook.com,None
Devi Nur Aisyah,S9809723E,F,Singaporean,25/01/73,Blk 455 Hougang Ave 8 #07-194,126146,69097744,69389519,84191222,nur.devi44@outlook.com,None
Ali Priya,S9659503J,F,Australian,02/12/63,Blk 731 Bishan Street 22 #15-496,647718,62943405,61068952,91738700,priya.ali88@icloud.com,Sulfa drugs
Devi Hui Min,S9733844J,F,Malaysian,25/10/51,Blk 914 Toa Payoh Lorong 4 #10-754,436467,64364763,64230379,95641409,hui.devi69@hotmail.com,Latex
Koh Hafiz,S5590865B,M,Singaporean,17/09/89,Blk 556 Bukit Batok West Ave 6 #04-311,676051,66343290,65547499,85752443,hafiz.koh74@yahoo.com,NSAIDs
Teo Daniel,T8443172A,M,Singaporean,02/11/80,Blk 56 Bedok North Road #04-492,547181,67575272,64002836,96966385,daniel.teo40@hotmail.com,None
Devi Daniel,S2558874H,M,Singaporean,21/11/69,Blk 238 Toa Payoh Lorong 4 #15-581,250703,65329406,67097668,94076154,daniel.devi90@hotmail.com,Codeine
Yeo Hui Min,S8974787B,F,Singaporean,10/03/79,Blk 589 Clementi Ave 2 #12-718,632623,62726915,67806281,86467186,hui.yeo72@gmail.com,Aspirin
